Algorithm,NumTrees,MaxIter,RegParam,AUC,Accuracy,ModelTag
rf,10,10,0.0,0.8458024552818343,0.7618516034080556,rf_t10
rf,50,10,0.0,0.8487001783041116,0.7564651935803607,rf_t50
rf,100,10,0.0,0.8467489806283874,0.754172465233628,rf_t100
lr,20,5,0.0,0.777319468176442,0.7075019272934793,lr_i5_r0.0
lr,20,5,0.1,0.769537104011635,0.7025910833892332,lr_i5_r0.1
lr,20,20,0.0,0.7772713460534703,0.707672129834503,lr_i20_r0.0
lr,20,20,0.1,0.7694646111636188,0.7024308927623872,lr_i20_r0.1
rf,10,10,0.0,0.8458024552818343,0.7618516034080556,rf_t10
rf,50,10,0.0,0.8487001783041116,0.7564651935803607,rf_t50
rf,100,10,0.0,0.8467489806283874,0.754172465233628,rf_t100
lr,20,5,0.0,0.7773198234738389,0.7075019272934793,lr_i5_r0.0
lr,20,5,0.1,0.7695370815580823,0.7025910833892332,lr_i5_r0.1
lr,20,20,0.0,0.7772695704686374,0.707672129834503,lr_i20_r0.0
lr,20,20,0.1,0.7694614035132589,0.7024308927623872,lr_i20_r0.1
svm,20,5,0.0,,0.7070013315845857,svm_i5_r0.0
svm,20,5,0.1,,0.6900211251389153,svm_i5_r0.1
svm,20,20,0.0,,0.7105255253751965,svm_i20_r0.0
svm,20,20,0.1,,0.6967341135951782,svm_i20_r0.1
rf,10,10,0.0,0.8458,0.7619,rf_t10
rf,50,10,0.0,0.8487,0.7565,rf_t50
rf,100,10,0.0,0.8467,0.7542,rf_t100
lr,20,5,0.0,0.7773,0.7075,lr_i5_r0.0
lr,20,5,0.1,0.7695,0.7026,lr_i5_r0.1
lr,20,20,0.0,0.7773,0.7077,lr_i20_r0.0
lr,20,20,0.1,0.7695,0.7024,lr_i20_r0.1
svm,20,5,0.0,0.7733,0.7070,svm_i5_r0.0
svm,20,5,0.1,0.7598,0.6900,svm_i5_r0.1
svm,20,20,0.0,0.7764,0.7105,svm_i20_r0.0
svm,20,20,0.1,0.7672,0.6967,svm_i20_r0.1
